 Image                                                  JD_midtime       Xc        Yc          ap_1    er_1         ap_2    er_2         ap_3    er_3         ap_4    er_4         ap_5    er_5         ap_6    er_6         ap_7    er_7       sky      round    sharp
                                                                                          ----   10000 km---   ----   10000 km---   ----   15000 km---   ----   15000 km---   ----   20000 km---   ----   20000 km---   ----   25000 km---    15, 30 px
tess2022357195521-s0060-1-4-0249-s_ffic_sad.fits     2459937.3452054  -1000.00  -1000.00     -99.999   -9.999      -99.999   -9.999      -99.999   -9.999      -99.999   -9.999      -99.999   -9.999      -99.999   -9.999      -99.999   -9.999       -9.9990   0.0210   0.7811 0
tess2022357202521-s0060-1-4-0249-s_ffic_sad.fits     2459937.3660388  -1000.00  -1000.00     -99.999   -9.999      -99.999   -9.999      -99.999   -9.999      -99.999   -9.999      -99.999   -9.999      -99.999   -9.999      -99.999   -9.999       -9.9990   0.0238   0.7811 0
tess2022357205521-s0060-1-4-0249-s_ffic_sad.fits     2459937.3868722  -1000.00  -1000.00     -99.999   -9.999      -99.999   -9.999      -99.999   -9.999      -99.999   -9.999      -99.999   -9.999      -99.999   -9.999      -99.999   -9.999       -9.9990   0.0240   0.7809 0
tess2022357212521-s0060-1-4-0249-s_ffic_sad.fits     2459937.4077056  -1000.00  -1000.00     -99.999   -9.999      -99.999   -9.999      -99.999   -9.999      -99.999   -9.999      -99.999   -9.999      -99.999   -9.999      -99.999   -9.999       -9.9990   0.0204   0.7812 0
tess2022357215521-s0060-1-4-0249-s_ffic_sad.fits     2459937.4285390  -1000.00  -1000.00     -99.999   -9.999      -99.999   -9.999      -99.999   -9.999      -99.999   -9.999      -99.999   -9.999      -99.999   -9.999      -99.999   -9.999       -9.9990   0.0276   0.7654 0
tess2022358064841-s0060-1-4-0249-s_ffic_sad.fits     2459937.7989118  -1000.00  -1000.00     -99.999   -9.999      -99.999   -9.999      -99.999   -9.999      -99.999   -9.999      -99.999   -9.999      -99.999   -9.999      -99.999   -9.999       -9.9990  -0.0043   0.7829 0
tess2022358065521-s0060-1-4-0249-s_ffic_sad.fits     2459937.8035415  -1000.00  -1000.00     -99.999   -9.999      -99.999   -9.999      -99.999   -9.999      -99.999   -9.999      -99.999   -9.999      -99.999   -9.999      -99.999   -9.999       -9.9990   0.0329   0.7583 0
tess2022358072521-s0060-1-4-0249-s_ffic_sad.fits     2459937.8243750  -1000.00  -1000.00     -99.999   -9.999      -99.999   -9.999      -99.999   -9.999      -99.999   -9.999      -99.999   -9.999      -99.999   -9.999      -99.999   -9.999       -9.9990   0.0327   0.7675 0
tess2022358075521-s0060-1-4-0249-s_ffic_sad.fits     2459937.8452086  -1000.00  -1000.00     -99.999   -9.999      -99.999   -9.999      -99.999   -9.999      -99.999   -9.999      -99.999   -9.999      -99.999   -9.999      -99.999   -9.999       -9.9990   0.0193   0.7794 0
tess2022358082521-s0060-1-4-0249-s_ffic_sad.fits     2459937.8660421  -1000.00  -1000.00     -99.999   -9.999      -99.999   -9.999      -99.999   -9.999      -99.999   -9.999      -99.999   -9.999      -99.999   -9.999      -99.999   -9.999       -9.9990   0.0217   0.7800 0
